Region,year,Occupancy_rate
Province,2009,0.31
South Shore,2009,0.21
South Shore,2009,0.25
Halifax Metro,2009,0.55
Eastern Shore,2009,0.18
Cape Breton,2009,0.34
Northumberland Shore,2009,0.42
Bay of Fundy/Annapolis Valley,2009,0.31
Yarmouth/Acadian Shores,2009,0.36
Province,2009,0.44
Halifax Metro,2009,0.65
Province,2009,0.51
Yarmouth/Acadian Shores,2009,0.31
Bay of Fundy/Annapolis Valley,2009,0.38
Northumberland Shore,2009,0.45
Cape Breton,2009,0.48
Eastern Shore,2009,0.26
South Shore,2009,0.36
Northumberland Shore,2009,0.61
Halifax Metro,2009,0.75
Province,2009,0.6
Yarmouth/Acadian Shores,2009,0.48
Bay of Fundy/Annapolis Valley,2009,0.5
Cape Breton,2009,0.51
Eastern Shore,2009,0.43
South Shore,2009,0.5
Halifax Metro,2009,0.68
Eastern Shore,2009,0.5
Cape Breton,2009,0.65
Northumberland Shore,2009,0.5
Bay of Fundy/Annapolis Valley,2009,0.45
Yarmouth/Acadian Shores,2009,0.49
Province,2009,0.59
South Shore,2009,0.61
Halifax Metro,2009,0.67
Eastern Shore,2009,0.44
Cape Breton,2009,0.61
Northumberland Shore,2009,0.52
Bay of Fundy/Annapolis Valley,2009,0.49
Yarmouth/Acadian Shores,2009,0.46
Province,2009,0.59
South Shore,2009,0.55
Halifax Metro,2009,0.59
Province,2009,0.43
Yarmouth/Acadian Shores,2009,0.33
Bay of Fundy/Annapolis Valley,2009,0.3
South Shore,2009,0.38
Northumberland Shore,2009,0.26
Cape Breton,2009,0.36
Eastern Shore,2009,0.26
Bay of Fundy/Annapolis Valley,2009,0.27
Halifax Metro,2009,0.52
Province,2009,0.38
Yarmouth/Acadian Shores,2009,0.27
Northumberland Shore,2009,0.25
Cape Breton,2009,0.27
Eastern Shore,2009,0.18
South Shore,2009,0.3
South Shore,2009,0.24
Halifax Metro,2009,0.61
Province,2009,0.44
Yarmouth/Acadian Shores,2009,0.25
Bay of Fundy/Annapolis Valley,2009,0.26
Northumberland Shore,2009,0.34
Cape Breton,2009,0.32
Eastern Shore,2009,0.1
Northumberland Shore,2009,0.43
Province,2009,0.44
Yarmouth/Acadian Shores,2009,0.25
Bay of Fundy/Annapolis Valley,2009,0.31
Cape Breton,2009,0.38
Eastern Shore,2009,0.15
Halifax Metro,2009,0.55
South Shore,2009,0.27
South Shore,2009,0.26
Province,2009,0.4
Yarmouth/Acadian Shores,2009,0.31
Bay of Fundy/Annapolis Valley,2009,0.27
Northumberland Shore,2009,0.33
Cape Breton,2009,0.3
Eastern Shore,2009,0.11
Halifax Metro,2009,0.52
South Shore,2009,0.21
Halifax Metro,2009,0.41
Province,2009,0.32
Yarmouth/Acadian Shores,2009,0.21
Bay of Fundy/Annapolis Valley,2009,0.21
Northumberland Shore,2009,0.29
Cape Breton,2009,0.26
Eastern Shore,2009,0.09
South Shore,2008,0.24
Eastern Shore,2008,0.08
Cape Breton,2008,0.25
Northumberland Shore,2008,0.28
Bay of Fundy/Annapolis Valley,2008,0.2
Yarmouth/Acadian Shores,2008,0.25
Province,2008,0.32
Halifax Metro,2008,0.41
South Shore,2008,0.27
Halifax Metro,2008,0.57
Eastern Shore,2008,0.17
Cape Breton,2008,0.3
Northumberland Shore,2008,0.45
Bay of Fundy/Annapolis Valley,2008,0.29
Yarmouth/Acadian Shores,2008,0.33
Province,2008,0.44
South Shore,2008,0.38
Province,2008,0.52
Yarmouth/Acadian Shores,2008,0.32
Bay of Fundy/Annapolis Valley,2008,0.39
Northumberland Shore,2008,0.47
Cape Breton,2008,0.48
Eastern Shore,2008,0.36
Halifax Metro,2008,0.68
Halifax Metro,2008,0.82
Province,2008,0.61
Yarmouth/Acadian Shores,2008,0.43
Bay of Fundy/Annapolis Valley,2008,0.47
Northumberland Shore,2008,0.54
Cape Breton,2008,0.48
Eastern Shore,2008,0.45
South Shore,2008,0.54
South Shore,2008,0.68
Halifax Metro,2008,0.72
Province,2008,0.61
Yarmouth/Acadian Shores,2008,0.46
Bay of Fundy/Annapolis Valley,2008,0.41
Northumberland Shore,2008,0.53
Cape Breton,2008,0.65
Eastern Shore,2008,0.57
Eastern Shore,2008,0.48
Province,2008,0.6
Yarmouth/Acadian Shores,2008,0.41
Bay of Fundy/Annapolis Valley,2008,0.48
South Shore,2008,0.62
Northumberland Shore,2008,0.57
Cape Breton,2008,0.6
Halifax Metro,2008,0.67
Northumberland Shore,2008,0.37
Province,2008,0.49
Yarmouth/Acadian Shores,2008,0.36
Bay of Fundy/Annapolis Valley,2008,0.34
Cape Breton,2008,0.38
Eastern Shore,2008,0.34
Halifax Metro,2008,0.67
South Shore,2008,0.42
South Shore,2008,0.34
Province,2008,0.43
Yarmouth/Acadian Shores,2008,0.31
Bay of Fundy/Annapolis Valley,2008,0.29
Halifax Metro,2008,0.61
Northumberland Shore,2008,0.33
Cape Breton,2008,0.28
Eastern Shore,2008,0.23
Bay of Fundy/Annapolis Valley,2008,0.32
South Shore,2008,0.25
Eastern Shore,2008,0.16
Cape Breton,2008,0.31
Northumberland Shore,2008,0.43
Yarmouth/Acadian Shores,2008,0.35
Province,2008,0.49
Halifax Metro,2008,0.68
Halifax Metro,2008,0.59
South Shore,2008,0.32
Eastern Shore,2008,0.08
Cape Breton,2008,0.31
Northumberland Shore,2008,0.38
Bay of Fundy/Annapolis Valley,2008,0.32
Yarmouth/Acadian Shores,2008,0.28
Province,2008,0.45
South Shore,2008,0.31
Province,2008,0.4
Yarmouth/Acadian Shores,2008,0.28
Bay of Fundy/Annapolis Valley,2008,0.29
Northumberland Shore,2008,0.36
Cape Breton,2008,0.26
Eastern Shore,2008,0.06
Halifax Metro,2008,0.53
Halifax Metro,2008,0.45
Eastern Shore,2008,0.12
Cape Breton,2008,0.23
Northumberland Shore,2008,0.33
Bay of Fundy/Annapolis Valley,2008,0.27
Yarmouth/Acadian Shores,2008,0.24
Province,2008,0.35
South Shore,2008,0.2
Halifax Metro,2007,0.32
Province,2007,0.28
Yarmouth/Acadian Shores,2007,0.23
Bay of Fundy/Annapolis Valley,2007,0.21
Northumberland Shore,2007,0.29
Cape Breton,2007,0.23
Eastern Shore,2007,0.17
South Shore,2007,0.24
South Shore,2007,0.32
Eastern Shore,2007,0.19
Halifax Metro,2007,0.61
Cape Breton,2007,0.3
Northumberland Shore,2007,0.39
Bay of Fundy/Annapolis Valley,2007,0.33
Yarmouth/Acadian Shores,2007,0.34
Province,2007,0.46
Cape Breton,2007,0.47
Halifax Metro,2007,0.73
Province,2007,0.54
Yarmouth/Acadian Shores,2007,0.33
Bay of Fundy/Annapolis Valley,2007,0.41
Northumberland Shore,2007,0.45
Eastern Shore,2007,0.34
South Shore,2007,0.39
South Shore,2007,0.57
Halifax Metro,2007,0.84
Eastern Shore,2007,0.51
Cape Breton,2007,0.57
Bay of Fundy/Annapolis Valley,2007,0.53
Yarmouth/Acadian Shores,2007,0.37
Province,2007,0.65
Northumberland Shore,2007,0.59
South Shore,2007,0.69
Province,2007,0.64
Yarmouth/Acadian Shores,2007,0.42
Bay of Fundy/Annapolis Valley,2007,0.58
Northumberland Shore,2007,0.63
Cape Breton,2007,0.71
Eastern Shore,2007,0.57
Halifax Metro,2007,0.63
South Shore,2007,0.63
Eastern Shore,2007,0.43
Cape Breton,2007,0.63
Northumberland Shore,2007,0.55
Bay of Fundy/Annapolis Valley,2007,0.52
Yarmouth/Acadian Shores,2007,0.4
Halifax Metro,2007,0.64
Province,2007,0.6
Province,2007,0.44
Halifax Metro,2007,0.57
Yarmouth/Acadian Shores,2007,0.31
Bay of Fundy/Annapolis Valley,2007,0.32
Northumberland Shore,2007,0.35
Cape Breton,2007,0.38
Eastern Shore,2007,0.3
South Shore,2007,0.39
Halifax Metro,2007,0.48
South Shore,2007,0.33
Province,2007,0.39
Yarmouth/Acadian Shores,2007,0.31
Bay of Fundy/Annapolis Valley,2007,0.31
Northumberland Shore,2007,0.38
Cape Breton,2007,0.29
Eastern Shore,2007,0.21
South Shore,2007,0.25
Province,2007,0.45
Yarmouth/Acadian Shores,2007,0.35
Bay of Fundy/Annapolis Valley,2007,0.3
Northumberland Shore,2007,0.32
Cape Breton,2007,0.31
Eastern Shore,2007,0.13
Halifax Metro,2007,0.62
Halifax Metro,2007,0.61
Province,2007,0.47
Yarmouth/Acadian Shores,2007,0.28
Bay of Fundy/Annapolis Valley,2007,0.33
Northumberland Shore,2007,0.4
Cape Breton,2007,0.37
Eastern Shore,2007,0.09
South Shore,2007,0.32
Halifax Metro,2007,0.56
South Shore,2007,0.27
Eastern Shore,2007,0.07
Cape Breton,2007,0.27
Northumberland Shore,2007,0.36
Bay of Fundy/Annapolis Valley,2007,0.28
Yarmouth/Acadian Shores,2007,0.3
Province,2007,0.42
Yarmouth/Acadian Shores,2007,0.24
Northumberland Shore,2007,0.33
South Shore,2007,0.21
Province,2007,0.35
Cape Breton,2007,0.26
Eastern Shore,2007,0.08
Halifax Metro,2007,0.45
Bay of Fundy/Annapolis Valley,2007,0.24
South Shore,2019,0.21
Halifax Metro,2019,0.43
Eastern Shore,2019,0.11
Cape Breton,2019,0.28
Northumberland Shore,2019,0.29
Bay of Fundy/Annapolis Valley,2019,0.26
Yarmouth/Acadian Shores,2019,0.28
Province,2019,0.35
South Shore,2019,0.35
Halifax Metro,2019,0.51
Eastern Shore,2019,0.09
Cape Breton,2019,0.44
Northumberland Shore,2019,0.33
Bay of Fundy/Annapolis Valley,2019,0.32
Yarmouth/Acadian Shores,2019,0.35
Province,2019,0.44
South Shore,2019,0.33
Halifax Metro,2019,0.63
Eastern Shore,2019,0.09
Cape Breton,2019,0.42
Northumberland Shore,2019,0.39
Bay of Fundy/Annapolis Valley,2019,0.36
Yarmouth/Acadian Shores,2019,0.32
Province,2019,0.5
Bay of Fundy/Annapolis Valley,2019,0.33
Bay of Fundy/Annapolis Valley,2019,0.25
Cape Breton,2019,0.35
Cape Breton,2019,0.35
Eastern Shore,2019,0.15
Eastern Shore,2019,0.2
Halifax Metro,2019,0.64
Halifax Metro,2019,0.59
Northumberland Shore,2019,0.34
Northumberland Shore,2019,0.35
Province,2019,0.49
Province,2019,0.43
South Shore,2019,0.27
South Shore,2019,0.33
Yarmouth/Acadian Shores,2019,0.35
Yarmouth/Acadian Shores,2019,0.36
Bay of Fundy/Annapolis Valley,2019,0.31
Bay of Fundy/Annapolis Valley,2019,0.42
Cape Breton,2019,0.46
Cape Breton,2019,0.7
Eastern Shore,2019,0.35
Eastern Shore,2019,0.48
Halifax Metro,2019,0.71
Halifax Metro,2019,0.8
Northumberland Shore,2019,0.29
Northumberland Shore,2019,0.44
Province,2019,0.51
Province,2019,0.64
South Shore,2019,0.47
South Shore,2019,0.62
Yarmouth/Acadian Shores,2019,0.38
Yarmouth/Acadian Shores,2019,0.5
Bay of Fundy/Annapolis Valley,2019,0.53
Cape Breton,2019,0.78
Eastern Shore,2019,0.54
Halifax Metro,2019,0.83
Northumberland Shore,2019,0.64
Province,2019,0.73
South Shore,2019,0.74
Yarmouth/Acadian Shores,2019,0.56
Bay of Fundy/Annapolis Valley,2019,0.62
Cape Breton,2019,0.62
Eastern Shore,2019,0.41
Halifax Metro,2019,0.88
Northumberland Shore,2019,0.6
Province,2019,0.71
South Shore,2019,0.62
Yarmouth/Acadian Shores,2019,0.54
Halifax Metro,2019,0.75
South Shore,2019,0.44
Eastern Shore,2019,0.39
Cape Breton,2019,0.58
Northumberland Shore,2019,0.52
Bay of Fundy & Annapolis Valley,2019,0.48
Yarmouth & Acadian Shores,2019,0.36
Province,2019,0.61
